Title,Link
Learn CSS Grid with a virtual garden game (cssgridgarden.com),https://cssgridgarden.com/
Quake in 13kb (2021) (js13kgames.com),https://js13kgames.com/entries/q1k3
An intuitive guide to Maxwell's equations (2020) (photonlines.substack.com),https://photonlines.substack.com/p/an-intuitive-guide-to-maxwells-equations
"AMD Unveils Ryzen 9000 CPUs for Desktop, Zen 5 (anandtech.com)",https://www.anandtech.com/show/21415/amd-unveils-ryzen-9000-cpus-for-desktop-zen-5-takes-center-stage-at-computex-2024
Will we have a negative leap second? [pdf] (gps.gov),https://www.gps.gov/cgsic/meetings/2022/matsakis.pdf
Everything I know about the fast inverse square root algorithm (github.com/francisrstokes),https://github.com/francisrstokes/githublog/blob/main/2024%2F5%2F29%2Ffast-inverse-sqrt.md
"HN-text: an easy-to-use, text-first Hacker News terminal client (github.com/piqoni)",https://github.com/piqoni/hn-text
Ask HN: What was your most humbling learning moment?,https://news.ycombinator.com/item?id=40555435
The Intellectual Obesity Crisis (2022) (gurwinder.blog),https://www.gurwinder.blog/p/the-intellectual-obesity-crisis
Lowering resource usage with foot and systemd (rgoswami.me),https://rgoswami.me/posts/lowering-resource-usage-foot-systemd/
Upgrading my Chumby 8 kernel part 10: RTC (downtowndougbrown.com),https://www.downtowndougbrown.com/2024/06/upgrading-my-chumby-8-kernel-part-10-rtc/
L(O*62).ONG: Make your URL longer (looooooooooooooooooooooooooooooooooooooo...),https://loooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo.ong/
China lands Chang'e 6 sample-return probe on far side of the moon (space.com),https://www.space.com/china-change-6-lands-on-moon-far-side-sample-return-mission
"AMD Instinct MI325X in Q4 2024, 288GB of HBM3E (amd.com)",https://ir.amd.com/news-events/press-releases/detail/1201/amd-accelerates-pace-of-data-center-ai-innovation-and
A Deep Dive into (Implicit) Thread Local Storage (chao-tic.github.io),https://chao-tic.github.io/blog/2018/12/25/tls
cuDF – GPU DataFrame Library (github.com/rapidsai),https://github.com/rapidsai/cudf
SPI Flash (trmm.net),https://trmm.net/SPI_flash/
Eight years of organizing tech meetups (2023) (eatonphil.com),https://notes.eatonphil.com/eight-years-of-tech-meetups.html
Formlabs Form 4 Teardown (bunniestudios.com),https://www.bunniestudios.com/blog/2024/formlabs-form-4-teardown/
Lord Kelvin and his analog computer (ieee.org),https://spectrum.ieee.org/tide-predictions
An accident of lighting uncovers origins of the astrolabe (nautil.us),https://nautil.us/the-smartphone-of-the-middle-ages-625924/
"DAK Industries Catalog, Early Fall 1985 (archive.org)",https://archive.org/details/1985.fall.dak
"The Canon Cat, the forgotten 1987 alternate-reality Mac (2019) (fastcompany.com)",https://www.fastcompany.com/90380553/meet-the-canon-cat-the-forgotten-1987-alternate-reality-mac
Show HN: Bliss – A constructed writing system for fast and beautiful writing (tcsenpai.com),https://space.tcsenpai.com/bliss-a-constructed-writing-system-for-quick-and-nice-texts/
Copy-and-Patch: Fast compilation for high-level languages and bytecode (2020) (arxiv.org),https://arxiv.org/abs/2011.13127
Why is Snapshot Isolation not enough? (concurrencyfreaks.blogspot.com),http://concurrencyfreaks.blogspot.com/2023/12/why-is-snapshot-isolation-not-enough.html
Horseshoe crab counting with New York’s citizen scientists (thecity.nyc),https://www.thecity.nyc/2024/05/29/horseshoe-crab-jamaica-bay-festival/
David Hilbert's 1930 Radio Address [video] (youtube.com),https://www.youtube.com/watch?v=wuLFqgx2Pec
Call Your Local Wizard (slate.com),https://slate.com/culture/2024/05/witches-wizards-magic-middle-ages-cunning-folk-book.html
Circle C++ with memory safety (circle-lang.org),https://www.circle-lang.org/site/intro/
